community,area_num_1,GRR,L,NL,U,total,flag,lead_plus_suspected,requires_replacement,pct_lead,pct_grr,pct_suspected_lead,pct_lead_plus_suspected,pct_requires_replacement,pct_not_lead,N,Y,NA,pct_replaced,median_household_income,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
Archer Heights,57,39,995,340,1567,2941,FALSE,2562,2601,33.8,1.3,53.3,87.1,88.4,11.6,2899,42,0,1.4,67397.23409090909,9,81.4,12.2,1.1,4.8,87.8
Brighton Park,58,150,2111,742,4508,7511,FALSE,6619,6769,28.1,2,60,88.1,90.1,9.9,7432,78,1,1,58095.00362318841,19.6,78.7,7,2.2,11.5,93
McKinley Park,59,61,1126,759,1526,3472,FALSE,2652,2713,32.4,1.8,44,76.4,78.1,21.9,3419,53,0,1.5,76145.6170212766,11.6,55.7,13.8,2.6,26.4,86.2
Bridgeport,60,148,1362,2356,3429,7295,FALSE,4791,4939,18.7,2,47,65.7,67.7,32.3,7151,144,0,2,73230.95786950544,15.2,22.5,31.6,2.7,40.7,68.4
New City,61,181,2164,1087,4698,8130,FALSE,6862,7043,26.6,2.2,57.8,84.4,86.6,13.4,8021,109,0,1.3,49356.367045169995,27.2,68.2,9.5,18.4,3.2,90.5
West Elsdon,62,29,1140,295,2789,4253,FALSE,3929,3958,26.8,0.7,65.6,92.4,93.1,6.9,4173,80,0,1.9,70781.33247863248,10.4,83.1,12.7,0.9,3.2,87.3
Gage Park,63,114,1883,347,4321,6665,FALSE,6204,6318,28.3,1.7,64.8,93.1,94.8,5.2,6560,105,0,1.6,57445.49193548387,15.5,90.7,2.2,5.9,0.8,97.8
Clearing,64,133,2517,780,3467,6897,FALSE,5984,6117,36.5,1.9,50.3,86.8,88.7,11.3,6803,93,1,1.3,78378.24324324324,7.8,64.4,32.4,1.4,0.5,67.6
West Lawn,65,67,2110,299,5063,7539,FALSE,7173,7240,28,0.9,67.2,95.1,96,4,7446,93,0,1.2,73410.70810313076,15.6,86.8,9.7,2,1.4,90.3
Chicago Lawn,66,270,3333,442,6617,10662,FALSE,9950,10220,31.3,2.5,62.1,93.3,95.9,4.1,10477,185,0,1.7,48782.498435054775,22.5,61.7,2.1,33.4,0.5,97.9
West Englewood,67,359,2958,551,4914,8782,FALSE,7872,8231,33.7,4.1,56,89.6,93.7,6.3,8547,235,0,2.7,34375.19316239316,33.1,19.9,0.6,76.4,0.7,99.4
Englewood,68,266,1620,594,3685,6165,FALSE,5305,5571,26.3,4.3,59.8,86.1,90.4,9.6,6047,118,0,1.9,29726.017064846415,32.7,7,1.4,88,0.8,98.6
Greater Grand Crossing,69,536,2483,669,3487,7175,FALSE,5970,6506,34.6,7.5,48.6,83.2,90.7,9.3,7036,139,0,1.9,40337.9152360515,27.4,4.4,1.1,91.3,1,98.9
Ashburn,70,46,4601,585,7365,12597,FALSE,11966,12012,36.5,0.4,58.5,95,95.4,4.6,12426,171,0,1.4,80909.4494764398,16,46.4,8.5,43,0.7,91.5
Auburn Gresham,71,446,4732,797,5644,11619,FALSE,10376,10822,40.7,3.8,48.6,89.3,93.1,6.9,11353,266,0,2.3,45489.41258741259,24.9,4,0.8,93,0.7,99.2
Beverly,72,267,3227,406,3039,6939,FALSE,6266,6533,46.5,3.8,43.8,90.3,94.1,5.9,6846,93,0,1.3,127056.10667752444,5.9,6.8,56.6,31.2,0.7,43.4
Washington Heights,73,234,3717,572,4159,8682,FALSE,7876,8110,42.8,2.7,47.9,90.7,93.4,6.6,8517,165,0,1.9,69525.5745967742,15.6,1.6,1.3,96.1,0,98.7
Mount Greenwood,74,79,2983,562,2893,6517,FALSE,5876,5955,45.8,1.2,44.4,90.2,91.4,8.6,6461,56,0,0.9,115749.1003236246,5.6,11.2,81.4,2.6,0.9,18.6
Morgan Park,75,158,3156,556,3479,7349,FALSE,6635,6793,42.9,2.1,47.3,90.3,92.4,7.6,7182,167,0,2.3,73838.7329207156,12.7,4.6,28.7,60.3,1.1,71.3
O'Hare,76,4,395,181,817,1397,FALSE,1212,1216,28.3,0.3,58.5,86.8,87,13,1392,5,0,0.4,76283.96250113004,8.4,14.5,62.2,6.5,13.4,37.8
Edgewater,77,144,1173,1225,2201,4743,FALSE,3374,3518,24.7,3,46.4,71.1,74.2,25.8,4665,78,0,1.6,70187.74486116119,13.6,15.4,53.5,12.3,12.7,46.5
