,id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
10,11,6000 S CAMPBELL AVE,Chicago,IL,60629,"6000 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"6000 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686309136878,41.784638811931",111804823,R,17,31,835000,1009,-87.686309136878,41.784638811931
11,12,7548 S MARSHFIELD AVE,Chicago,IL,60620,"7548 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7548 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877983999,41.756245749228",604996799,R,17,31,710400,1009,-87.664877983999,41.756245749228
12,13,7548 S MARSHFIELD AVE,Chicago,IL,60620,"7548 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7548 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877983999,41.756245749228",604996799,R,17,31,710400,1009,-87.664877983999,41.756245749228
13,14,5932 S CAMPBELL AVE,Chicago,IL,60629,"5932 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5932 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686337788153,41.785745218659",605308083,R,17,31,835000,1006,-87.686337788153,41.785745218659
14,16,5941 S CAMPBELL AVE,Chicago,IL,60629,"5941 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5941 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686177580569,41.785502752225",605308083,L,17,31,835000,1005,-87.686177580569,41.785502752225
15,17,5941 S CAMPBELL AVE,Chicago,IL,60629,"5941 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5941 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686177580569,41.785502752225",605308083,L,17,31,835000,1005,-87.686177580569,41.785502752225
16,19,7559 S MARSHFIELD AVE,Chicago,IL,60620,"7559 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7559 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664722138065,41.7561699141",604996799,L,17,31,710400,1002,-87.664722138065,41.7561699141
17,20,7559 S MARSHFIELD AVE,Chicago,IL,60620,"7559 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7559 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664722138065,41.7561699141",604996799,L,17,31,710400,1002,-87.664722138065,41.7561699141
18,21,5940 S CAMPBELL AVE,Chicago,IL,60629,"5940 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5940 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686334567709,41.78562498831",605308083,R,17,31,835000,1006,-87.686334567709,41.78562498831
19,22,5952 S CAMPBELL AVE,Chicago,IL,60629,"5952 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5952 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686329737044,41.785444642786",605308083,R,17,31,835000,1006,-87.686329737044,41.785444642786
20,23,7554 S MARSHFIELD AVE,Chicago,IL,60620,"7554 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7554 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664876622051,41.756198761845",604996799,R,17,31,710400,1009,-87.664876622051,41.756198761845
21,24,5952 S CAMPBELL AVE,Chicago,IL,60629,"5952 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5952 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686329737044,41.785444642786",605308083,R,17,31,835000,1006,-87.686329737044,41.785444642786
22,25,7555 S MARSHFIELD AVE,Chicago,IL,60620,"7555 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7555 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664723046031,41.756201239021",604996799,L,17,31,710400,1002,-87.664723046031,41.756201239021
23,26,5940 S CAMPBELL AVE,Chicago,IL,60629,"5940 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5940 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686334567709,41.78562498831",605308083,R,17,31,835000,1006,-87.686334567709,41.78562498831
24,27,7555 S MARSHFIELD AVE,Chicago,IL,60620,"7555 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7555 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664723046031,41.756201239021",604996799,L,17,31,710400,1002,-87.664723046031,41.756201239021
25,28,5955 S CAMPBELL AVE,Chicago,IL,60629,"5955 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5955 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686172749904,41.785322406701",605308083,L,17,31,835000,1005,-87.686172749904,41.785322406701
26,29,5955 S CAMPBELL AVE,Chicago,IL,60629,"5955 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5955 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686172749904,41.785322406701",605308083,L,17,31,835000,1005,-87.686172749904,41.785322406701
27,30,7547 S MARSHFIELD AVE,Chicago,IL,60620,"7547 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7547 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664724861962,41.756263888864",604996799,L,17,31,710400,1002,-87.664724861962,41.756263888864
28,31,7550 S MARSHFIELD AVE,Chicago,IL,60620,"7550 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7550 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877530016,41.756230086767",604996799,R,17,31,710400,1009,-87.664877530016,41.756230086767
29,32,7554 S MARSHFIELD AVE,Chicago,IL,60620,"7554 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7554 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664876622051,41.756198761845",604996799,R,17,31,710400,1009,-87.664876622051,41.756198761845
30,33,7547 S MARSHFIELD AVE,Chicago,IL,60620,"7547 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7547 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664724861962,41.756263888864",604996799,L,17,31,710400,1002,-87.664724861962,41.756263888864
31,34,7550 S MARSHFIELD AVE,Chicago,IL,60620,"7550 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7550 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664877530016,41.756230086767",604996799,R,17,31,710400,1009,-87.664877530016,41.756230086767
32,35,5944 S CAMPBELL AVE,Chicago,IL,60629,"5944 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5944 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686332957487,41.785564873135",605308083,R,17,31,835000,1006,-87.686332957487,41.785564873135
33,36,5943 S CAMPBELL AVE,Chicago,IL,60629,"5943 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5943 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686176890474,41.785476988578",605308083,L,17,31,835000,1005,-87.686176890474,41.785476988578
34,37,5943 S CAMPBELL AVE,Chicago,IL,60629,"5943 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5943 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686176890474,41.785476988578",605308083,L,17,31,835000,1005,-87.686176890474,41.785476988578
35,38,5944 S CAMPBELL AVE,Chicago,IL,60629,"5944 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5944 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686332957487,41.785564873135",605308083,R,17,31,835000,1006,-87.686332957487,41.785564873135
36,39,7551 S MARSHFIELD AVE,Chicago,IL,60620,"7551 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7551 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664723953996,41.756232563943",604996799,L,17,31,710400,1002,-87.664723953996,41.756232563943
37,41,7558 S MARSHFIELD AVE,Chicago,IL,60620,"7558 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7558 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664875714085,41.756167436924",604996799,R,17,31,710400,1009,-87.664875714085,41.756167436924
38,42,7558 S MARSHFIELD AVE,Chicago,IL,60620,"7558 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7558 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664875714085,41.756167436924",604996799,R,17,31,710400,1009,-87.664875714085,41.756167436924
39,43,7551 S MARSHFIELD AVE,Chicago,IL,60620,"7551 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7551 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664723953996,41.756232563943",604996799,L,17,31,710400,1002,-87.664723953996,41.756232563943
40,44,5927 S CAMPBELL AVE,Chicago,IL,60629,"5927 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5927 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686182411234,41.785683097749",605308083,L,17,31,835000,1005,-87.686182411234,41.785683097749
41,45,7952 S JEFFERY BLVD,Chicago,IL,60617,"7952 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7952 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576037862275,41.75064230632",657161289,R,17,31,460500,7004,-87.576037862275,41.75064230632
42,46,5918 S CAMPBELL AVE,Chicago,IL,60629,"5918 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5918 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686343423929,41.785955621771",605308083,R,17,31,835000,1006,-87.686343423929,41.785955621771
43,47,7546 S MARSHFIELD AVE,Chicago,IL,60620,"7546 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7546 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664878437982,41.756261411688",604996799,R,17,31,710400,1009,-87.664878437982,41.756261411688
44,48,7546 S MARSHFIELD AVE,Chicago,IL,60620,"7546 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7546 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664878437982,41.756261411688",604996799,R,17,31,710400,1009,-87.664878437982,41.756261411688
45,49,5918 S CAMPBELL AVE,Chicago,IL,60629,"5918 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5918 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686343423929,41.785955621771",605308083,R,17,31,835000,1006,-87.686343423929,41.785955621771
46,50,5937 S CAMPBELL AVE,Chicago,IL,60629,"5937 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5937 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686178960759,41.785554279517",605308083,L,17,31,835000,1005,-87.686178960759,41.785554279517
47,51,5937 S CAMPBELL AVE,Chicago,IL,60629,"5937 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5937 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686178960759,41.785554279517",605308083,L,17,31,835000,1005,-87.686178960759,41.785554279517
48,52,7544 S MARSHFIELD AVE,Chicago,IL,60620,"7544 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7544 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664878891965,41.756277074149",604996799,R,17,31,710400,1009,-87.664878891965,41.756277074149
49,53,7544 S MARSHFIELD AVE,Chicago,IL,60620,"7544 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7544 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664878891965,41.756277074149",604996799,R,17,31,710400,1009,-87.664878891965,41.756277074149
50,54,5927 S CAMPBELL AVE,Chicago,IL,60629,"5927 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5927 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686182411234,41.785683097749",605308083,L,17,31,835000,1005,-87.686182411234,41.785683097749
51,55,7934 S JEFFERY BLVD,Chicago,IL,60617,"7934 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7934 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576043499863,41.750955194221",657161289,R,17,31,460500,7004,-87.576043499863,41.750955194221
52,56,7536 S MARSHFIELD AVE,Chicago,IL,60620,"7536 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7536 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664880707896,41.756339723992",604996799,R,17,31,710400,1009,-87.664880707896,41.756339723992
53,57,7939 S JEFFERY BLVD,Chicago,IL,60617,"7939 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7939 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575888662248,41.750887203792",657161289,L,17,31,460500,7003,-87.575888662248,41.750887203792
54,58,7545 S MARSHFIELD AVE,Chicago,IL,60620,"7545 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7545 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664725315944,41.756279551325",604996799,L,17,31,710400,1002,-87.664725315944,41.756279551325
55,59,7536 S MARSHFIELD AVE,Chicago,IL,60620,"7536 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7536 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664880707896,41.756339723992",604996799,R,17,31,710400,1009,-87.664880707896,41.756339723992
56,60,5949 S CAMPBELL AVE,Chicago,IL,60629,"5949 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5949 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686174820189,41.785399697639",605308083,L,17,31,835000,1005,-87.686174820189,41.785399697639
57,61,7934 S JEFFERY BLVD,Chicago,IL,60617,"7934 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7934 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576043499863,41.750955194221",657161289,R,17,31,460500,7004,-87.576043499863,41.750955194221
58,62,5951 S CAMPBELL AVE,Chicago,IL,60629,"5951 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5951 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686174130094,41.785373933993",605308083,L,17,31,835000,1005,-87.686174130094,41.785373933993
59,63,5951 S CAMPBELL AVE,Chicago,IL,60629,"5951 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5951 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686174130094,41.785373933993",605308083,L,17,31,835000,1005,-87.686174130094,41.785373933993
60,64,7939 S JEFFERY BLVD,Chicago,IL,60617,"7939 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7939 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575888662248,41.750887203792",657161289,L,17,31,460500,7003,-87.575888662248,41.750887203792
61,65,5949 S CAMPBELL AVE,Chicago,IL,60629,"5949 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5949 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686174820189,41.785399697639",605308083,L,17,31,835000,1005,-87.686174820189,41.785399697639
62,66,5945 S CAMPBELL AVE,Chicago,IL,60629,"5945 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5945 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686176200379,41.785451224932",605308083,L,17,31,835000,1005,-87.686176200379,41.785451224932
63,67,5945 S CAMPBELL AVE,Chicago,IL,60629,"5945 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5945 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686176200379,41.785451224932",605308083,L,17,31,835000,1005,-87.686176200379,41.785451224932
64,68,7545 S MARSHFIELD AVE,Chicago,IL,60620,"7545 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7545 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664725315944,41.756279551325",604996799,L,17,31,710400,1002,-87.664725315944,41.756279551325
65,69,2501 W 59TH ST,Chicago,IL,60629,"2501 W 59TH ST, Chicago, IL, 60629",Match,Exact,"2501 W 59TH ST, CHICAGO, IL, 60629","-87.686355584364,41.786466869551",111804793,L,17,31,835000,1004,-87.686355584364,41.786466869551
66,70,2501 W 59TH ST,Chicago,IL,60629,"2501 W 59TH ST, Chicago, IL, 60629",Match,Exact,"2501 W 59TH ST, CHICAGO, IL, 60629","-87.686355584364,41.786466869551",111804793,L,17,31,835000,1004,-87.686355584364,41.786466869551
67,71,7915 S JEFFERY BLVD,Chicago,IL,60617,"7915 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7915 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575895737857,41.751305210094",657161289,L,17,31,460500,7003,-87.575895737857,41.751305210094
68,72,7915 S JEFFERY BLVD,Chicago,IL,60617,"7915 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7915 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575895737857,41.751305210094",657161289,L,17,31,460500,7003,-87.575895737857,41.751305210094
69,73,7912 S JEFFERY BLVD,Chicago,IL,60617,"7912 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7912 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576050580856,41.751336760362",657161289,R,17,31,460500,7004,-87.576050580856,41.751336760362
70,74,7912 S JEFFERY BLVD,Chicago,IL,60617,"7912 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7912 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576050580856,41.751336760362",657161289,R,17,31,460500,7004,-87.576050580856,41.751336760362
71,75,5925 S CAMPBELL AVE,Chicago,IL,60629,"5925 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5925 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686183101329,41.785708861395",605308083,L,17,31,835000,1005,-87.686183101329,41.785708861395
72,76,7538 S MARSHFIELD AVE,Chicago,IL,60620,"7538 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7538 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664880253913,41.756324061531",604996799,R,17,31,710400,1009,-87.664880253913,41.756324061531
73,77,7538 S MARSHFIELD AVE,Chicago,IL,60620,"7538 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7538 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664880253913,41.756324061531",604996799,R,17,31,710400,1009,-87.664880253913,41.756324061531
74,78,7535 S MARSHFIELD AVE,Chicago,IL,60620,"7535 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7535 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664727585858,41.756357863629",604996799,L,17,31,710400,1002,-87.664727585858,41.756357863629
75,79,7535 S MARSHFIELD AVE,Chicago,IL,60620,"7535 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7535 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664727585858,41.756357863629",604996799,L,17,31,710400,1002,-87.664727585858,41.756357863629
76,80,5925 S CAMPBELL AVE,Chicago,IL,60629,"5925 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5925 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686183101329,41.785708861395",605308083,L,17,31,835000,1005,-87.686183101329,41.785708861395
77,81,7541 S MARSHFIELD AVE,Chicago,IL,60620,"7541 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7541 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.66472622391,41.756310876246",604996799,L,17,31,710400,1002,-87.66472622391,41.756310876246
78,82,5942 S CAMPBELL AVE,Chicago,IL,60629,"5942 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5942 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686333762598,41.785594930723",605308083,R,17,31,835000,1006,-87.686333762598,41.785594930723
79,83,7917 S JEFFERY BLVD,Chicago,IL,60617,"7917 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7917 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575894434553,41.75127045523",657161289,L,17,31,460500,7003,-87.575894434553,41.75127045523
80,84,7917 S JEFFERY BLVD,Chicago,IL,60617,"7917 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7917 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575894434553,41.75127045523",657161289,L,17,31,460500,7003,-87.575894434553,41.75127045523
81,85,7916 S JEFFERY BLVD,Chicago,IL,60617,"7916 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7916 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576047974248,41.751267250632",657161289,R,17,31,460500,7004,-87.576047974248,41.751267250632
82,86,7541 S MARSHFIELD AVE,Chicago,IL,60620,"7541 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7541 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.66472622391,41.756310876246",604996799,L,17,31,710400,1002,-87.66472622391,41.756310876246
83,87,7916 S JEFFERY BLVD,Chicago,IL,60617,"7916 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7916 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576047974248,41.751267250632",657161289,R,17,31,460500,7004,-87.576047974248,41.751267250632
84,88,5942 S CAMPBELL AVE,Chicago,IL,60629,"5942 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5942 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686333762598,41.785594930723",605308083,R,17,31,835000,1006,-87.686333762598,41.785594930723
85,89,5915 S CAMPBELL AVE,Chicago,IL,60629,"5915 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5915 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686186551804,41.785837679626",605308083,L,17,31,835000,1005,-87.686186551804,41.785837679626
86,90,5924 S CAMPBELL AVE,Chicago,IL,60629,"5924 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5924 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686341008596,41.785865449009",605308083,R,17,31,835000,1006,-87.686341008596,41.785865449009
87,91,5915 S CAMPBELL AVE,Chicago,IL,60629,"5915 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5915 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686186551804,41.785837679626",605308083,L,17,31,835000,1005,-87.686186551804,41.785837679626
88,92,5924 S CAMPBELL AVE,Chicago,IL,60629,"5924 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5924 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686341008596,41.785865449009",605308083,R,17,31,835000,1006,-87.686341008596,41.785865449009
89,93,7532 S MARSHFIELD AVE,Chicago,IL,60620,"7532 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7532 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664881615861,41.756371048914",604996799,R,17,31,710400,1009,-87.664881615861,41.756371048914
90,94,7532 S MARSHFIELD AVE,Chicago,IL,60620,"7532 S MARSHFIELD AVE, Chicago, IL, 60620",Match,Exact,"7532 S MARSHFIELD AVE, CHICAGO, IL, 60620","-87.664881615861,41.756371048914",604996799,R,17,31,710400,1009,-87.664881615861,41.756371048914
91,95,5920 S CAMPBELL AVE,Chicago,IL,60629,"5920 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5920 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686342618818,41.785925564183",605308083,R,17,31,835000,1006,-87.686342618818,41.785925564183
92,96,7923 S JEFFERY BLVD,Chicago,IL,60617,"7923 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7923 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575893479231,41.751164557197",657161289,L,17,31,460500,7003,-87.575893479231,41.751164557197
93,97,5920 S CAMPBELL AVE,Chicago,IL,60629,"5920 S CAMPBELL AVE, Chicago, IL, 60629",Match,Exact,"5920 S CAMPBELL AVE, CHICAGO, IL, 60629","-87.686342618818,41.785925564183",605308083,R,17,31,835000,1006,-87.686342618818,41.785925564183
94,98,7923 S JEFFERY BLVD,Chicago,IL,60617,"7923 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7923 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575893479231,41.751164557197",657161289,L,17,31,460500,7003,-87.575893479231,41.751164557197
95,99,7924 S JEFFERY BLVD,Chicago,IL,60617,"7924 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7924 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576046631857,41.751129020832",657161289,R,17,31,460500,7004,-87.576046631857,41.751129020832
96,100,7924 S JEFFERY BLVD,Chicago,IL,60617,"7924 S JEFFERY BLVD, Chicago, IL, 60617",Match,Exact,"7924 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.576046631857,41.751129020832",657161289,R,17,31,460500,7004,-87.576046631857,41.751129020832
