,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
121,7933 S JEFFERY BLVD,"7933 S JEFFERY BLVD, Chicago, IL, 60617","7933 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575890541444,41.750991499759
122,7932 S JEFFERY BLVD,"7932 S JEFFERY BLVD, Chicago, IL, 60617","7932 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576044126262,41.750989959543
123,7932 S JEFFERY BLVD,"7932 S JEFFERY BLVD, Chicago, IL, 60617","7932 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576044126262,41.750989959543
124,7933 S JEFFERY BLVD,"7933 S JEFFERY BLVD, Chicago, IL, 60617","7933 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575890541444,41.750991499759
125,5807 S OAKLEY AVE,"5807 S OAKLEY AVE, Chicago, IL, 60636","5807 S OAKLEY AVE, CHICAGO, IL, 60636",605308061,835100,-87.681063440077,41.788236349096
126,8116 S JEFFERY BLVD,"8116 S JEFFERY BLVD, Chicago, IL, 60617","8116 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575988878591,41.747632224287
127,8104 S JEFFERY BLVD,"8104 S JEFFERY BLVD, Chicago, IL, 60617","8104 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575991485889,41.747840809752
128,8104 S JEFFERY BLVD,"8104 S JEFFERY BLVD, Chicago, IL, 60617","8104 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575991485889,41.747840809752
129,8116 S JEFFERY BLVD,"8116 S JEFFERY BLVD, Chicago, IL, 60617","8116 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575988878591,41.747632224287
130,4831 S LAMON AVE,"4831 S LAMON AVE, Chicago, IL, 60638","4831 S LAMON AVE, CHICAGO, IL, 60638",111799840,560300,-87.745457173183,41.805188531782
131,8126 S JEFFERY BLVD,"8126 S JEFFERY BLVD, Chicago, IL, 60617","8126 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575986101764,41.747458235724
132,7935 S JEFFERY BLVD,"7935 S JEFFERY BLVD, Chicago, IL, 60617","7935 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575889915046,41.750956734437
133,7935 S JEFFERY BLVD,"7935 S JEFFERY BLVD, Chicago, IL, 60617","7935 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575889915046,41.750956734437
134,7937 S JEFFERY BLVD,"7937 S JEFFERY BLVD, Chicago, IL, 60617","7937 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575889288647,41.750921969114
135,7937 S JEFFERY BLVD,"7937 S JEFFERY BLVD, Chicago, IL, 60617","7937 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575889288647,41.750921969114
136,8140 S JEFFERY BLVD,"8140 S JEFFERY BLVD, Chicago, IL, 60617","8140 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598207961,41.747214893935
137,8140 S JEFFERY BLVD,"8140 S JEFFERY BLVD, Chicago, IL, 60617","8140 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598207961,41.747214893935
138,8126 S JEFFERY BLVD,"8126 S JEFFERY BLVD, Chicago, IL, 60617","8126 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575986101764,41.747458235724
139,7938 S JEFFERY BLVD,"7938 S JEFFERY BLVD, Chicago, IL, 60617","7938 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576042247066,41.750885663576
140,8130 S JEFFERY BLVD,"8130 S JEFFERY BLVD, Chicago, IL, 60617","8130 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575984952577,41.747388709498
141,7941 S JEFFERY BLVD,"7941 S JEFFERY BLVD, Chicago, IL, 60617","7941 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.57588803585,41.75085243847
142,8122 S JEFFERY BLVD,"8122 S JEFFERY BLVD, Chicago, IL, 60617","8122 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598725095,41.747527761949
143,7938 S JEFFERY BLVD,"7938 S JEFFERY BLVD, Chicago, IL, 60617","7938 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576042247066,41.750885663576
144,8122 S JEFFERY BLVD,"8122 S JEFFERY BLVD, Chicago, IL, 60617","8122 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598725095,41.747527761949
145,8130 S JEFFERY BLVD,"8130 S JEFFERY BLVD, Chicago, IL, 60617","8130 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575984952577,41.747388709498
146,7941 S JEFFERY BLVD,"7941 S JEFFERY BLVD, Chicago, IL, 60617","7941 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.57588803585,41.75085243847
147,7940 S JEFFERY BLVD,"7940 S JEFFERY BLVD, Chicago, IL, 60617","7940 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576041620667,41.750850898254
148,7940 S JEFFERY BLVD,"7940 S JEFFERY BLVD, Chicago, IL, 60617","7940 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576041620667,41.750850898254
149,8141 S JEFFERY BLVD,"8141 S JEFFERY BLVD, Chicago, IL, 60617","8141 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575828501078,41.747216306958
150,8154 S JEFFERY BLVD,"8154 S JEFFERY BLVD, Chicago, IL, 60617","8154 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575978057456,41.746971552146
151,8154 S JEFFERY BLVD,"8154 S JEFFERY BLVD, Chicago, IL, 60617","8154 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575978057456,41.746971552146
152,7943 S JEFFERY BLVD,"7943 S JEFFERY BLVD, Chicago, IL, 60617","7943 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575887409451,41.750817673148
153,7943 S JEFFERY BLVD,"7943 S JEFFERY BLVD, Chicago, IL, 60617","7943 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575887409451,41.750817673148
154,8141 S JEFFERY BLVD,"8141 S JEFFERY BLVD, Chicago, IL, 60617","8141 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575828501078,41.747216306958
155,8127 S JEFFERY BLVD,"8127 S JEFFERY BLVD, Chicago, IL, 60617","8127 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575832523232,41.747459648747
156,8123 S JEFFERY BLVD,"8123 S JEFFERY BLVD, Chicago, IL, 60617","8123 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575833672419,41.747529174972
157,7946 S JEFFERY BLVD,"7946 S JEFFERY BLVD, Chicago, IL, 60617","7946 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576039741471,41.750746602287
158,8127 S JEFFERY BLVD,"8127 S JEFFERY BLVD, Chicago, IL, 60617","8127 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575832523232,41.747459648747
159,7944 S JEFFERY BLVD,"7944 S JEFFERY BLVD, Chicago, IL, 60617","7944 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.57604036787,41.750781367609
160,8121 S JEFFERY BLVD,"8121 S JEFFERY BLVD, Chicago, IL, 60617","8121 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575834247012,41.747563938085
161,8121 S JEFFERY BLVD,"8121 S JEFFERY BLVD, Chicago, IL, 60617","8121 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575834247012,41.747563938085
162,7946 S JEFFERY BLVD,"7946 S JEFFERY BLVD, Chicago, IL, 60617","7946 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576039741471,41.750746602287
163,7944 S JEFFERY BLVD,"7944 S JEFFERY BLVD, Chicago, IL, 60617","7944 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.57604036787,41.750781367609
164,7949 S JEFFERY BLVD,"7949 S JEFFERY BLVD, Chicago, IL, 60617","7949 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575885530255,41.750713377181
165,8158 S JEFFERY BLVD,"8158 S JEFFERY BLVD, Chicago, IL, 60617","8158 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575976908269,41.74690202592
166,8158 S JEFFERY BLVD,"8158 S JEFFERY BLVD, Chicago, IL, 60617","8158 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575976908269,41.74690202592
167,7949 S JEFFERY BLVD,"7949 S JEFFERY BLVD, Chicago, IL, 60617","7949 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575885530255,41.750713377181
168,8143 S JEFFERY BLVD,"8143 S JEFFERY BLVD, Chicago, IL, 60617","8143 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575827926485,41.747181543845
169,7950 S JEFFERY BLVD,"7950 S JEFFERY BLVD, Chicago, IL, 60617","7950 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576038488674,41.750677071642
170,8143 S JEFFERY BLVD,"8143 S JEFFERY BLVD, Chicago, IL, 60617","8143 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575827926485,41.747181543845
171,7953 S JEFFERY BLVD,"7953 S JEFFERY BLVD, Chicago, IL, 60617","7953 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575884277457,41.750643846536
172,7953 S JEFFERY BLVD,"7953 S JEFFERY BLVD, Chicago, IL, 60617","7953 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575884277457,41.750643846536
173,8123 S JEFFERY BLVD,"8123 S JEFFERY BLVD, Chicago, IL, 60617","8123 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575833672419,41.747529174972
174,8114 S JEFFERY BLVD,"8114 S JEFFERY BLVD, Chicago, IL, 60617","8114 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575989313141,41.747666988531
175,8114 S JEFFERY BLVD,"8114 S JEFFERY BLVD, Chicago, IL, 60617","8114 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575989313141,41.747666988531
176,7952 S JEFFERY BLVD,"7952 S JEFFERY BLVD, Chicago, IL, 60617","7952 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576037862275,41.75064230632
